idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,171.93948364257812,918.7214965820312,171.93946838378906,918.7215576171875,0.9944378104178812,0.9944378104178812,266.4090576171875,0.6453965386178573,136.09787607192993,286.90174436569214,0.10876131057739258,543,14584,211447,1445822,0.0012383386
1,440.7895812988281,3095.90478515625,440.78955078125,3095.90478515625,0.9712444820061439,0.9712444820061439,526.4466552734375,0.8372920159781072,125.89740204811096,271.8426239490509,0.10006237030029297,566,18938,255023,1606946,0.0012663604
2,468.0889892578125,5443.47021484375,468.0889892578125,5443.47021484375,0.9959522101485355,0.9959522101485355,669.450927734375,0.6992132953523086,134.61153316497803,283.95192980766296,0.13287878036499023,723,23402,451650,2816562,0.0011346189
3,469.1278381347656,5454.1767578125,469.1278381347656,5454.1767578125,0.9979473699906727,0.9979473699906727,766.599853515625,0.6119592065969574,137.87790870666504,296.45365953445435,0.2524292469024658,1329,28864,496045,2792938,0.0009248976
4,49.47770690917969,264.4298095703125,49.47770690917969,264.4298095703125,0.9964417121578661,0.9964417121578661,61.26948547363281,0.8075423928681809,136.4557671546936,289.8222222328186,0.0993192195892334,560,5952,278164,1720424,0.0040952694
5,414.3780517578125,3882.650390625,414.3780517578125,3882.650390625,0.9996675934942181,0.9996675934942181,899.672119140625,0.46058785522177814,3604.084513902664,7306.225158691406,5.955527067184448,23084,144446,557866,3090094,0.0022533634
6,259.04339599609375,3591.4482421875,259.04339599609375,3591.448486328125,0.9959896321500245,0.9959896321500245,413.1307678222656,0.6270251846929437,140.50699305534363,308.0520851612091,0.25456762313842773,1298,32900,1096812,5420096,0.0011938037
7,871.3400268554688,14057.0751953125,871.3400268554688,14057.07421875,0.9908727360457473,0.9908727360457473,1664.86083984375,0.5233710866412388,521.6867792606354,1131.6291720867157,1.8463330268859863,8170,223314,2177353,13340384,0.0013370874
